URI (Extra in Zotero),Subject Term 1,Subject Term 2,Subject Term 3,Subject Term 4,Subject Term 5,Subject Term 6,Subject Term 7,Subject Term 8,Subject Term 9,Subject Term 10,Geographic Subject 1,Geographic Subject 2,Geographic Subject 3,Geographic Subject 4,Geographic Subject 5,Geographic Subject 6,Geographic Subject 7,Geographic Subject 8,Geographic Subject 9,Geographic Subject 10,Geographic Subject 11,Geographic Subject 12,Geographic Subject 13,Geographic Subject 14,Geographic Subject 15,Geographic Subject 16,Geographic Subject 17,Geographic Subject 18,Geographic Subject 19,Geographic Subject 20,Geographic Subject 21,Geographic Subject 22,Geographic Subject 23,Geographic Subject 24,Geographic Subject 25,Geographic Subject 26,Geographic Subject 27,Geographic Subject 28,Geographic Subject 29,Geographic Subject 30,Geographic Subject 31,Geographic Subject 32,Geographic Subject 33,Geographic Subject 34,Geographic Subject 35,Geographic Subject 36,Peddler Name 1,Peddler Name 2,Peddler Name 3,Peddler Name 4,Peddler Name 5,Peddler Name 6,Peddler Name 7,Peddler Name 8,Peddler Name 9,Peddler Name 10,Peddler Name 11,Peddler Name 12,Peddler Name 13,Peddler Name 14,Peddler Name 15,Peddler Name 16,Peddler Name 17,Peddler Name 18,Peddler Name 19,Peddler Name 20,,,,,,,,,,,,,,,,Subject Date Span
jp_cite_00001,Business Practices,Anti-Semitic Rhetoric,,,,,,,,,"Limerick, Ireland",Russia,Poland,Gemany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600-1907
jp_cite_00002,Transportation,,,,,,,,,,Western Pennsylvania,Maryland,Virginia,"Baltimore, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850-1920
jp_cite_00003,Transportation,Cultural Exchange,Religious Practice,Wares,,,,,,,"Oudtshoorn, South Africa","Kimberley, South Africa","Cape Town, South Africa",Transvaal,Natal,Volhynia,Podolia,Kiev,Grodno,Vilna,Kovno,Suwalki,Courland,Ponevesz,Rietovo,Yanishik,Shavi,Plungyan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1870-1910
jp_cite_00004,Anti-Semitic Rhetoric,Contextual Resource,,,,,,,,,Denmark,Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1814-1850
jp_cite_00005,Bartering,Anti-Semitic Rhetoric,Victims of Crime,Wares,Transportation,,,,,,Kovno,Vilna,Grodno,Prussia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1860-1918
jp_cite_00006,Bartering,Religious Practice,Wares,Transportation,,,,,,,Russia,Poland,Lithuania,Prussia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1860-1940
jp_cite_00007,Wares,,,,,,,,,,"Windsor, Ontario","Essex County, Ontario",Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900-1920
jp_cite_00008,Subsequent Commercial Careers,Religious Practice,,,,,,,,,Russia,Poland,Germany,Breslau,"Baltimore, Maryland","New York, New York","Tucson, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brooks, Julius","Drachman, Philip",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1870-1920
jp_cite_00009,Subsequent Commercial Careers,Transportation,Cultural Exchange,Religious Practice,Wares,,,,,,"Stirling, Scotland","California, Scotland","Greenock, Scotland","Falkirk, Scotland","Ayr, Scotland",Suwalk,"Memel, Lithuania","Edinburgh, Scotland","Cowdenbeath, Scotland","Dunfermline, Scotland",Russia,"Shetland Islands, Scotland","Aberdeen, Scotland","Glasgow, Scotland","Gorodea, Belarus","Minsk, Belarus",Prussia,,,,,,,,,,,,,,,,,,,,"Greenwald (Pochapovsky), Harry","Greenwald (Pochapovsky), Louis","Greenwald (Pochapovsky), Hyman","Greenwald (Pochapovsky), Woolf","Quint, Julius","Dorfar (Dorkar), Bernard","Levy, Philip",Brown family,"Dreyer, Samuel","Reelman, Louis","Rosenbloom, Daniel","Shinwell, Manny","Spilig, Gershon",,,,,,,,,,,,,,,,,,,,,,,1840-1900
jp_cite_00010,Business Practices,Family,Wares,,,,,,,,"Wittelshofen, Germany","Chicago, Illinois","Detroit, Michigan","Ciff Mine, Michigan","Eagle River, Michigan","Hancock, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Austrian, Joseph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1833-1870
