subid,jp_id,point,lat,lon,location,location_original,
880,jp_cite_00170,,,,,,POINT(-917705.6368280144 7059743.326019042)
881,,POINT(-917705.6368280144 7059743.326019042),53.41291,-8.24389,Ireland,,
882,jp_cite_00171,,,,,,"""POINT(11724030.287269026 8747149.047572464)"",""POINT(-7910238.3479711665 5215071.602551562)"",""POINT(-9286660.826455204 3650571.6727516013)"",""POINT(-9267364.839507172 3659715.9380982514)"",""POINT(-9270518.554076754 3611041.345159568)"",""POINT(-9394027.228532074 3995147.831181809)""}"
883,,POINT(11724030.287269026 8747149.047572464),61.52401,105.318756,Russia,,
884,,POINT(-7910238.3479711665 5215071.602551562),42.3600825,-71.0588801,"Boston, Massachusetts",,
885,,POINT(-9286660.826455204 3650571.6727516013),31.1371358,-83.4234936,"Adel, Georgia",,
886,,POINT(-9267364.839507172 3659715.9380982514),31.2074197,-83.2501548,"Nashville, Georgia",,
887,,POINT(-9270518.554076754 3611041.345159568),30.8327022,-83.2784851,"Valdosta, Georgia",,
888,,POINT(-9394027.228532074 3995147.831181809),33.7489954,-84.3879824,"Atlanta, Georgia",,
889,jp_cite_00172,,,,,,"""POINT(-473308.8788059002 7531436.417041781)"",""POINT(1163458.5521707046 6650655.040248428)"",""POINT(2658451.372124075 7394820.259211762)""}"
890,,POINT(-473308.8788059002 7531436.417041781),55.864237,-4.251806,"Glasgow, Scotland",,
891,,POINT(1163458.5521707046 6650655.040248428),51.165691,10.451526,Germany,,
892,,POINT(2658451.372124075 7394820.259211762),55.169438,23.881275,Lithuania,,
893,jp_cite_00173,,,,,,"""POINT(2658451.372124075 7394820.259211762)"",""POINT(-8933211.647120569 4058140.1611554325)""}"
894,,POINT(2658451.372124075 7394820.259211762),55.169438,23.881275,Lithuania,,
895,,POINT(-8933211.647120569 4058140.1611554325),34.2182107,-80.2484056,"Bishopville, South Carolina",,
896,jp_cite_00174,,,,,,"""POINT(3158121.151624116 6009523.467050845)"",""POINT(-11538874.526349438 5817687.124989456)"",""POINT(-10382213.509639945 5618019.830260546)""}"
897,,POINT(3158121.151624116 6009523.467050845),47.411631,28.369885,Moldova,,
898,,POINT(-11538874.526349438 5817687.124989456),46.2325063,-103.6554735,"Rhame, North Dakota",,
899,,POINT(-10382213.509639945 5618019.830260546),44.977753,-93.2650108,"Minneapolis, Minnesota",,
900,jp_cite_00175,,,,,,POINT(-14221.988898634567 6711533.693057904)
901,,POINT(-14221.988898634567 6711533.693057904),51.5073509,-0.1277583,"London, United Kingdom",,
902,jp_cite_00176,,,,,,"""POINT(246433.41138981478 5816903.7126172995)"",""POINT(1163458.5521707046 6650655.040248428)"",""POINT(2131226.7903913013 6785571.89784786)"",""POINT(-417361.26121386 4933551.651775023)"",""POINT(3923268.658357253 4716479.683972344)"",""POINT(2075385.0376349909 8428326.964267042)"",""POINT(11724030.287269026 8747149.047572464)""}"
903,,POINT(246433.41138981478 5816903.7126172995),46.227638,2.213749,France,,
904,,POINT(1163458.5521707046 6650655.040248428),51.165691,10.451526,Germany,,
905,,POINT(2131226.7903913013 6785571.89784786),51.919438,19.145136,Poland,,
906,,POINT(-417361.26121386 4933551.651775023),40.463667,-3.74922,Spain,,
907,,POINT(3923268.658357253 4716479.683972344),38.963745,35.243322,Turkey,,
908,,POINT(2075385.0376349909 8428326.964267042),60.128161,18.643501,Sweden,,
909,,POINT(11724030.287269026 8747149.047572464),61.52401,105.318756,Russia,,
910,jp_cite_00177,,,,,,"""POINT(2658451.372124075 7394820.259211762)"",""POINT(2050956.4540576176 -4018718.156683889)"",""POINT(2471585.988729019 -3975313.990861327)""}"
911,,POINT(2658451.372124075 7394820.259211762),55.169438,23.881275,Lithuania,,
912,,POINT(2050956.4540576176 -4018718.156683889),-33.9248685,18.4240553,"Cape Town, South Africa",,
913,,POINT(2471585.988729019 -3975313.990861327),-33.6007225,22.2026347,"Oudtshoorn, South Africa",,
914,jp_cite_00178,,,,,,"""POINT(2552643.6544251265 7191305.542634782)"",""POINT(-11745782.995190984 4837201.213388617)"",""POINT(-11800084.409021454 4753911.014736832)"",""POINT(-11687461.277951073 4828120.777979258)"",""POINT(-11766192.33289408 4823324.764172982)"",""POINT(-11764738.923358586 4831326.48306551)"",""POINT(-11759063.087614248 4831550.611832086)"",""POINT(-11745721.123818008 4828591.611318743)"",""POINT(-8238303.700046114 4970069.184605361)"",""POINT(-130724.67101431279 6864664.653290115)""}"
915,,POINT(2552643.6544251265 7191305.542634782),54.1115218,22.9307881,"Suwalki, Poland",,
916,,POINT(-11745782.995190984 4837201.213388617),39.8019322,-105.5141639,"Central City, Colorado",,
917,,POINT(-11800084.409021454 4753911.014736832),39.2247125,-106.0019618,"South Park, Colorado",,
918,,POINT(-11687461.277951073 4828120.777979258),39.7392358,-104.990251,"Denver, Colorado",,
919,,POINT(-11766192.33289408 4823324.764172982),39.7060984,-105.6975041,"Georgetown, Colorado",,
920,,POINT(-11764738.923358586 4831326.48306551),39.7613763,-105.6844479,"Empire, Colorado",,
921,,POINT(-11759063.087614248 4831550.611832086),39.762924,-105.633461,"Lawson, Colorado",,
922,,POINT(-11745721.123818008 4828591.611318743),39.7424881,-105.5136081,"Idaho Springs, Colorado",,
923,,POINT(-8238303.700046114 4970069.184605361),40.7127837,-74.0059413,"New York, New York",,
924,,POINT(-130724.67101431279 6864664.653290115),52.3555177,-1.1743197,"England, United Kingdom",,
925,jp_cite_00179,,,,,,"""POINT(11724030.287269026 8747149.047572464)"",""POINT(2658451.372124075 7394820.259211762)"",""POINT(2738814.470989424 7735556.798811074)"",""POINT(1606660.2286676248 6461022.145308473)"",""POINT(2131226.7903913013 6785571.89784786)"",""POINT(246433.41138981478 5816903.7126172995)"",""POINT(3019955.2958529154 4638765.41802242)"",""POINT(2554161.0504039186 4959395.112916691)"",""POINT(2348143.404655374 5132582.703074149)""}"
926,,POINT(11724030.287269026 8747149.047572464),61.52401,105.318756,Russia,,
927,,POINT(2658451.372124075 7394820.259211762),55.169438,23.881275,Lithuania,,
928,,POINT(2738814.470989424 7735556.798811074),56.879635,24.603189,Latvia,,
929,,POINT(1606660.2286676248 6461022.145308473),50.0850736,14.4328744,Bohemia,,
930,,POINT(2131226.7903913013 6785571.89784786),51.919438,19.145136,Poland,,
931,,POINT(246433.41138981478 5816903.7126172995),46.227638,2.213749,France,,
932,,POINT(3019955.2958529154 4638765.41802242),38.41885,27.12872,"Izmir, Turkey",,
933,,POINT(2554161.0504039186 4959395.112916691),40.6400629,22.9444191,"Salonika, Greece",,
934,,POINT(2348143.404655374 5132582.703074149),41.8101472,21.0937311,Balkans,,
935,jp_cite_00180,,,,,,"""POINT(2131226.7903913013 6785571.89784786)"",""POINT(-8350648.521257598 -1027437.3556249347)""}"
936,,POINT(2131226.7903913013 6785571.89784786),51.919438,19.145136,Poland,,
937,,POINT(-8350648.521257598 -1027437.3556249347),-9.189967,-75.015152,Peru,,
938,jp_cite_00181,,,,,,"""POINT(1347146.576736338 6277140.4395323545)"",""POINT(-8367354.181578875 4859054.290881913)"",""POINT(-8494291.00654439 4871447.770723099)"",""POINT(-8516431.94119043 4870841.915946548)"",""POINT(-10520399.536502874 5067645.7573955925)"",""POINT(847495.6102302383 6793541.210972065)"",""POINT(1228364.115977327 6387787.9941345295)"",""POINT(-8905101.338364959 4930180.7964929445)"",""POINT(966489.9231121482 6465507.800238679)"",""POINT(-8528429.900246715 4763352.471949581)""}"
939,,POINT(1347146.576736338 6277140.4395323545),49.0134297,12.1016236,"Regensburg, Germany",,
940,,POINT(-8367354.181578875 4859054.290881913),39.9525839,-75.1652215,"Philadelphia, Pennsylvania",,
941,,POINT(-8494291.00654439 4871447.770723099),40.0378755,-76.3055144,"Lancaster, Pennsylvania",,
942,,POINT(-8516431.94119043 4870841.915946548),40.0337085,-76.5044098,"Columbia, Pennsylvania",,
943,,POINT(-10520399.536502874 5067645.7573955925),41.3738765,-94.506357,Prussia,,
