subid,jp_id,point,lat,lon,location,location_original,,,0,,A,B,RND_A,RND_B,,,,,
880,jp_cite_00170,,,,,,POINT(-917705.6368280144 7059743.326019042),,0,,,,0.38846718,0.731307808,1388.46718,1731.307808,,,
881,,POINT(-917705.6368280144 7059743.326019042),53.41291,-8.24389,Ireland,,,,0,,-917705.6368,7059743.326,0.899562049,0.27443461,1899.562049,1274.43461,-915806.0748,7058468.891,l
882,jp_cite_00171,,,,,,"""POINT(11724030.287269026 8747149.047572464)"",""POINT(-7910238.3479711665 5215071.602551562)"",""POINT(-9286660.826455204 3650571.6727516013)"",""POINT(-9267364.839507172 3659715.9380982514)"",""POINT(-9270518.554076754 3611041.345159568)"",""POINT(-9394027.228532074 3995147.831181809)""}",,0,,,,0.411985251,0.673788428,1411.985251,1673.788428,1411.985251,-1673.788428,
883,,POINT(11724030.287269026 8747149.047572464),61.52401,105.318756,Russia,,,,0,,11724030.29,8747149.048,0.930888381,0.795793827,1930.888381,1795.793827,11725961.18,8745353.254,
884,,POINT(-7910238.3479711665 5215071.602551562),42.3600825,-71.0588801,"Boston, Massachusetts",,,,0,,-7910238.348,5215071.603,0.102149966,0.598420377,1102.149966,1598.420377,-7909136.198,5213473.182,
885,,POINT(-9286660.826455204 3650571.6727516013),31.1371358,-83.4234936,"Adel, Georgia",,,,0,,-9286660.826,3650571.673,0.693613227,0.962504843,1693.613227,1962.504843,-9284967.213,3648609.168,
886,,POINT(-9267364.839507172 3659715.9380982514),31.2074197,-83.2501548,"Nashville, Georgia",,,,0,,-9267364.84,3659715.938,0.483843326,0.167282434,1483.843326,1167.282434,-9265880.996,3658548.656,
887,,POINT(-9270518.554076754 3611041.345159568),30.8327022,-83.2784851,"Valdosta, Georgia",,,,0,,-9270518.554,3611041.345,0.978478217,0.49266935,1978.478217,1492.66935,-9268540.076,3609548.676,
888,,POINT(-9394027.228532074 3995147.831181809),33.7489954,-84.3879824,"Atlanta, Georgia",,,,0,,-9394027.229,3995147.831,0.515610793,0.196135494,1515.610793,1196.135494,-9392511.618,3993951.696,w
889,jp_cite_00172,,,,,,"""POINT(-473308.8788059002 7531436.417041781)"",""POINT(1163458.5521707046 6650655.040248428)"",""POINT(2658451.372124075 7394820.259211762)""}",,0,,,,0.638201478,0.544675785,1638.201478,1544.675785,1638.201478,-1544.675785,2
