Key	Item Type	Publication Year	Author	Title	Publication Title	ISBN	ISSN	DOI	Url	Abstract Note	Date	Date Added	Date Modified	Access Date	Pages	Num Pages	Issue	Volume	Number Of Volumes	Journal Abbreviation	Short Title	Series	Series Number	Series Text	Series Title	Publisher	Place	Language	Rights	Type	Archive	Archive Location	Library Catalog	Call Number	Extra	Notes	File Attachments	Link Attachments	Manual Tags	Automatic Tags	Editor	Series Editor	Translator	Contributor	Attorney Agent	Book Author	Cast Member	Commenter	Composer	Cosponsor	Counsel	Interviewer	Producer	Recipient	Reviewed Author	Scriptwriter	Words By	Guest	Number	Edition	Running Time	Scale	Medium	Artwork Size	Filing Date	Application Number	Assignee	Issuing Authority	Country	Meeting Name	Conference Name	Court	References	Reporter	Legal Status	Priority Numbers	Programming Language	Version	System	Code	Code Number	Section	Session	Committee	History	Legislative Body
WTP2HK6F	book	1907	"Abbott, G. F"	Israel in Europe							1907	3/4/2014 17:36	11/18/2014 15:47													Macmillan and Co.	"London, New York"	English					Open WorldCat		jp_cite_00001																																																			
H8TIAGTA	document	1970	"Aberbach, Moses"	German Jews in Baltimore							1970-02	10/13/2014 15:13	11/18/2014 15:47															eng				"Jewish Museum of Mayland, Vertical Files"			jp_cite_00002																																																			
KTK5S27E	book	1955	"Abrahams, Israel"	"The birth of a community: a history of Western Province Jewry from earliest times to the end of the South African War, 1902"							1955	10/13/2014 15:19	11/18/2014 15:47													Cape Town Hebrew Congregation	Cape Town	English					Open WorldCat		jp_cite_00003																																																			
96WSHN5G	thesis		"Abrahamsen, Samuel"	Emancipation and Victimization of Jews of Denmark and Norway							undated	10/13/2014 15:32	11/18/2014 15:49													Brooklyn College	"Brooklyn, New York"	eng							jp_cite_00004																																																			
JFQ4526E	journalArticle	1947	"Abramovitch, Hirsch"	Rural Jewish Occupations in Lithuania	YIVO Annual of Jewish Social Science						1947-1948	3/4/2014 18:23	11/18/2014 16:00					3-Feb										English							jp_cite_00005																																																			
56BB9R9W	book	1999	"Abramowicz, Hirsz; Shandler, Jeffrey; Fishman, David E"	Profiles of a lost world: memoirs of East European Jewish life before World War II		0814327842 9780814327845				"""First published in a Yiddish edition in 1958, Profiles of a Lost World is an incomparable source of information about Eastern Europe before World War II as well as an invaluable touchstone for understanding a rich and complex cultural environment. Hirsz Abramowicz (1881-1960), a prominent Jewish educator, writer, and cultural activist, knew that world and wrote about it, and his writings provide a rare eyewitness account of Jewish life during the first half of the twentieth century."" ""Abramowicz was a witness to war, revolution, and major cultural transformations in the Jewish world. His essays, written and originally published in Yiddish between 1920 and 1955, document the local history of Lithuanian Jewry in rural and small-town settings and in the city of Vilna - the ""Jerusalem of Lithuania"" - which was a major center of East European Jewish intellectual and cultural life. They shed important light on the daily life of Jews and the flourishing of modern Yiddish culture in Eastern Europe during the early twentieth century and offer a personal perspective on the rise of Jewish radical politics.""--BOOK JACKET."	1999	10/13/2014 16:02	12/1/2014 19:21													Wayne State University Press	Detroit	English					Open WorldCat		jp_cite_00006						"Abramowicz, Dina"		"Dobkin, Eva Zeitlin"	"Shandler, Jeffrey; Fishman, David E"																																										
Q52ARSMV	book	1981	"Abrams, Alan E"	Why Windsor?: an anecdotal history of the Jews of Windsor and Essex County		0887530761  9780887530760					1981	10/13/2014 16:17	11/18/2014 16:04													Black Moss Press	"Windsor, Ont."	English					Open WorldCat		jp_cite_00007																																																			
N2F797N2	book	2006	"Abrams, Jeanne E"	Jewish women pioneering the frontier trail a history in the American West		9780814707272  0814707270			http://search.ebscohost.com/login.aspx?direct=true&scope=site&db=nlebk&db=nlabk&AN=219456		2006	10/13/2014 16:24	11/18/2014 16:06	10/13/2014 16:24												New York University Press	New York	English					Open WorldCat		jp_cite_00008																																																			
8BFFCB3R	book	2009	"Abrams, Nathan"	Caledonian Jews a study of seven small communities in Scotland		9780786454327  0786454326			http://site.ebrary.com/id/10346621	"""This is the first full history of the Jews in Scotland who lived outside Edinburgh and Glasgow. The work focuses on seven communities from the borders to the Highlands. Drawn from numerous primary sources, the history of Jews in Scotland is traced from the earliest rumors to the present""--Provided by publisher."	2009	10/13/2014 16:42	11/18/2014 16:10	10/13/2014 16:42												McFarland	"Jefferson, N.C."	English					Open WorldCat		jp_cite_00009																																																			
66ASCZMK	document	1904	"Austrian, Joseph"	Joseph Austrian's Autobigraphical and Historical Sketches							1904	2/18/2014 22:33	11/18/2014 16:14															English	Public Domain		"American Jewish Archives, SC-598"				jp_cite_00010																																																			
5QPFN25K	book	1958	"Cohen, Abraham B"	Memories at eighty-five.							1958	10/13/2014 18:55	11/18/2014 16:19													A.B. Cohen	"Scranton, Pa."	English					Open WorldCat		jp_cite_00011																																																			
CDNXJTTI	book	1941	"Cohen, J. X.; American Jewish Congress"	"Jewish life in South America; a survey study for the American Jewish Congress,"							1941	10/13/2014 19:12	2/25/2015 20:19													Bloch Pub. Co.	New York	English					Open WorldCat		jp_cite_00012																																																			
S6NA2QKG	document	1985	"Creamer, John"	Letter to Richard Abeles from John Creamer (Assistant to Yates County Historian) regarding peddlers David C. and Morris B. Abeles in 1870 census							10/8/1985	3/4/2014 17:39	12/1/2014 18:42															English				"Nathan and Theresa Berman Upper Midwest Jewish Archives, University of Minnesota"			jp_cite_00013																																																			
X8NJURI5	document	1909	"Frank, Isaac"	Memoir							1909	10/13/2014 19:36	11/18/2014 16:27															eng				"American Jewish Archives, SC-14538"			jp_cite_00014																																																			
WRE2G5NK	document		"Hirsch, Aaron"	Memoir								10/14/2014 14:59	11/18/2014 16:30															eng				"American Jewish Archives, SC-5022"			jp_cite_00015																																																			
SNI9HBWZ	webpage	2012	"Abbey, Alan D."	Vermont retailer Louis R. Mazel dies at 99	Jewish Telegraphic Agency				http://www.jta.org/2012/04/10/news-opinion/obituaries/vermont-retailer-louis-r-mazel-dies-at-99	"Louis R. Mazel, who developed Vermont’s first local, discount department store, and who was a longtime prominent member of Burlington’s business and philanthropic communities, died March 28 at 99. [[READMORE]] One of that relatively rare breed, a native-born Jewish Vermonter, Mazel began working in the family-owned department store, Mazel’s, in Burlington, as a teenager. Mazel’s..."	4/10/2012	3/4/2014 17:19	12/1/2014 18:26	3/4/2014 17:19																					jp_cite_00016		C:\Users\dao269\AppData\Roaming\Zotero\Zotero\Profiles\sizhv72l.default\zotero\storage\ICN3FI8R\vermont-retailer-louis-r-mazel-dies-at-99.html																																																	
C22CQGKZ	journalArticle	1968	"Abrahamson, Abraham; Mihm, Friedrich"	Interesting Accounts of the Travels of Abraham Abrahamson to America and Especially to the Gold Mines of California and Australia	Western States Jewish Historical Quarterly						1968	12/1/2014 19:03	12/1/2014 19:09				3	1																	jp_cite_00017								"Toeppen, Marlene"																																											
