Extra,Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,Subject Term 1,Subject Term 2,Subject Term 3,Subject Term 4,Subject Term 5,Subject Term 6,Subject Term 7,Subject Term 8,Subject Term 9,Subject Term 10,Geographic Subject 1,Geographic Subject 2,Geographic Subject 3,Geographic Subject 4,Geographic Subject 5,Geographic Subject 6,Geographic Subject 7,Geographic Subject 8,Geographic Subject 9,Geographic Subject 10,Geographic Subject 11,Geographic Subject 12,Geographic Subject 13,Geographic Subject 14,Geographic Subject 15,Geographic Subject 16,Geographic Subject 17,Geographic Subject 18,Geographic Subject 19,Geographic Subject 20,Geographic Subject 21,Geographic Subject 22,Geographic Subject 23,Geographic Subject 24,Geographic Subject 25,Geographic Subject 26,Geographic Subject 27,Geographic Subject 28,Geographic Subject 29,Geographic Subject 30,Geographic Subject 31,Geographic Subject 32,Geographic Subject 33,Geographic Subject 34,Geographic Subject 35,Geographic Subject 36,Peddler Name 1,Peddler Name 2,Peddler Name 3,Peddler Name 4,Peddler Name 5,Peddler Name 6,Peddler Name 7,Peddler Name 8,Peddler Name 9,Peddler Name 10,Peddler Name 11,Peddler Name 12,Peddler Name 13,Peddler Name 14,Peddler Name 15,Peddler Name 16,Peddler Name 17,Peddler Name 18,Peddler Name 19,Peddler Name 20,Subject Date Span,geom
,2B2SXREI,document,1940,,"Seasongood, Jacob: Cincinatti, Ohio: Short Biography",,,,,,,9/16/1940,4/14/2014 15:11:34,5/14/2015 17:03:34,,,,,,,,,,,,,,,,,,,"SC-11130, American Jewish Archives",,,"<p>Life story, relatively clear geographic. May not be most interesting from <em>peddler </em>standpoint, as Seasongood had several careers. This may be proof of the role that peddling had as a temporary means of gaining economic security. No copy of actual doc in box, just HD notes.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2C3J4WSB,journalArticle,2006,"Samuels, Maurice","Jews, Modernity, and the Fiction of Ben-Levi",Nineteenth-Century French Studies,,1536-0172,10.1353/ncf.2006.0038,http://muse.jhu.edu/journals/nineteenth_century_french_studies/v034/34.3samuels.html,,2006,4/8/2014 17:33:16,5/28/2014 18:27:53,4/8/2014 17:33:16,287-302,,3,34,,,,,,,,,,,,,,,Project MUSE,,,;,http://muse.jhu.edu/journals/nineteenth_century_french_studies/v034/34.3samuels.pdf; http://muse.jhu.edu/journals/nineteenth_century_french_studies/v034/34.3samuels.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2CIIRI78,journalArticle,2005,"Ryan, Des","Father John Creagh CSSR: Social Reformer, 1870-1947",Old Limerick Journal,,,,,,2005,5/6/2014 19:06:22,5/6/2014 19:07:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2EASWK48,book,1976,"Rosenbaum, Fred","Free to choose: the making of a Jewish community in the American West : the Jews of Oakland, California from the gold rush to the present day",,,,,,,1976,5/6/2014 19:35:27,5/6/2014 19:35:27,,,,,,,,Free to choose,,,,,Judah L. Magnes Memorial Museum,"Berkeley, Calif.",English,,,,,Open WorldCat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2ETJPEWM,book,1990,"Shammas, Carole",The pre-industrial consumer in England and America,,0198283024 9780198283027,,,,,1990,4/14/2014 21:06:54,4/14/2014 21:06:54,,,,,,,,,,,,,Clarendon Press ; Oxford University Press,Oxford [England]; New York,English,,,,,Open WorldCat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2GXRARSH,book,1907,"Rubinow, I. M",Economic condition of the Jews in Russia,,,,,,,1907,4/29/2014 20:24:45,4/29/2014 20:24:45,,,,,,,,,,,,,G.P.O.,"Washington, D.C.",English,,,,,Open WorldCat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2QFDKXWR,book,1992,"Cronon, William; Miles, George A; Gitlin, Jay",Under an open sky: rethinking America's Western past,,039302993X 9780393029932,,,,"""The history of the American West is being transformed by exciting new ideas, new questions, new scholarship. For many years this field was dominated by popular images of the lone cowboy and the savage Indian, and by Frederick Jackson Turner's concept of the frontier as a steadily advancing source of democracy and social renewal. But now historians and even the merchants of popular culture are reshaping our views of the frontier and the West by taking up a rich array of new subjects, including the stories of diverse peoples as well as the history of the land itself. A new generation of scholars is reformulating the broader questions also: what was the significance of the frontier in American history? what are the bases of western identity? what themes connect the twentieth-century West to its more distant past?"" ""The transformation of western history continues to be an open-ended, turbulent process. The original essays in this volume are reports from the frontier of change. In their diverging assumptions and conclusions, they reflect the vitality of this field. They succeed when they make the case for new questions and suggest possible answers. They advocate no single agenda. But taken together they well represent the passion and high craft with which scholars are creating a new western history.""--BOOK JACKET.",1992,3/4/2015 16:01:13,3/4/2015 16:01:13,,,,,,,,Under an open sky,,,,,W.W. Norton,New York,English,,,,,Open WorldCat,,"<p>Contextual resource providing theoretical basis for understanding ""The West""</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2SXXPXG9,book,1935,"Dubelman, Abraham Josef","Oif Kubaner erd; bilder, skitzn un derzeilungen.",,,,,,,1935,5/14/2015 21:00:27,5/14/2015 21:00:27,,,,,,,,,,,,,"Imprenta ""Vida Habanera, """,Havana,Yiddish,,,,,Open WorldCat,,<p>Need translation before inclusion</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2TKGKUW8,journalArticle,1983,"Schmier, Louis",A Jewish Peddler and His Black Customers Look at Each Other,American Jewish History,,0164-0178,,http://search.proquest.com/docview/1296106081/E3D27CFA1EE54F0FPQ/1?accountid=12768,,9/1/1983,4/7/2014 18:28:58,4/7/2014 18:28:58,4/7/2014 18:28:58,,,1,73,,,,,,,,,,English,,,,,ProQuest,,,,http://search.proquest.com/docview/1296106081/E3D27CFA1EE54F0FPQ/1?accountid=12768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36W7GNFR,book,1917,"Sandberg, Harry O","The Jews of Latin America including South and Central America, Mexico, the West Indies, and the United States possessions.",,,,,,,1917,4/8/2014 18:19:19,4/8/2014 18:19:19,,,,,,,,,,,,,Jewish Publication Society of America,Philadelphia,English,,,,,Open WorldCat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38V7N7TU,journalArticle,1983,"Schmier, Louis",A 'Jewish Missionary' Among Gentiles: Charles Wessolowsky's Georgia Years,The Journal of Southwest Georgia History,,,,,,1983,4/7/2014 15:50:08,4/7/2014 15:51:36,,,,,1,,,,,,,,,,,,,,,,,"<p>Not primary source material, but does provide very detailed portrait of a life.</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3A8ZXDN5,book,1990,"Cohen, Derek; Heller, Deborah",Jewish presences in English literature,,9780773562622  0773562621,,,http://site.ebrary.com/id/10135060,,1990,2/17/2015 22:22:03,2/17/2015 22:22:03,2/17/2015 22:22:03,,,,,,,,,,,,McGill-Queen's University Press,Montreal [Que.],English,,,,,Open WorldCat,,<p>Title page only. Unclear if peddlers are represented in this resource.</p>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
