"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"25AN686K","journalArticle","1904","Davidson, Israel","The Jewish Inmates of Sing Sing Prison","Bulletin, National Conference of Jewish Charities","","","","","","1904-11","2015-03-10 15:58:55","2015-03-10 16:01:36","","36-38","","2","4","","","","","","","","","","","","","","","","","jp_cite_00281","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26FSSKNX","book","1990","Collins, Kenneth E; Scottish Jewish Archives","Second City Jewry: the Jews of Glasgow in the age of expansion, 1790-1919","","0951320513 9780951320518 0951320521 9780951320525","","","","","1990","2015-02-28 22:40:27","2015-02-28 22:58:09","","","","","","","","Second City Jewry","","","","","Scottish Jewish Archives","Glasgow","English","","","","","Open WorldCat","","jp_cite_00258","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27E8DZCB","journalArticle","2000","Chesnut, Charlenne","Memories of the Radoff Family of Houston, Texas: Their Home and Their Business 1888-1948","Western States Jewish History","","07495471","","http://search.ebscohost.com/login.aspx?direct=true&db=31h&AN=40643793&site=ehost-live","Describes the home of Henry V. Radoff, a Jewish immigrant from Poland who came to Houston, Texas, around 1890, as well as the building that housed the family business and the activities surrounding both structures.","Winter/Spring 2000///Winter/Spring2000","2015-02-17 17:26:15","2015-02-17 17:26:58","2015-02-17 17:26:15","100-113","","2/3","32","","Western States Jewish History","Memories of the Radoff Family of Houston, Texas","","","","","","","","","","","","EBSCOhost","","jp_cite_00225","","","http://content.ebscohost.com/ContentServer.asp?T=P&P=AN&K=40643793&S=R&D=31h&EbscoContent=dGJyMNLr40Sep7U4xNvgOLCmr02ep7BSsKy4SbKWxWXS&ContentCustomer=dGJyMPGutlCyqbVOuePfgeyx44Dt6fIA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2AP2SNJ5","document","1899","Bernstein, Saul","Letter to Henrietta Szold","","","","","","","1899-02-06","2015-01-12 16:20:21","2015-05-14 16:47:19","","","","","","","","","","","","","","","","","","","Folder 15, Saul Bernstein Papers, Jewish Museum of Maryland","","","jp_cite_00140","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2B2SXREI","document","1940","","Seasongood, Jacob: Cincinatti, Ohio: Short Biography","","","","","","","1940-09-16","2014-04-14 15:11:34","2015-05-14 17:03:34","","","","","","","","","","","","","","","","","","","SC-11130, American Jewish Archives","","","","<p>Life story, relatively clear geographic. May not be most interesting from <em>peddler </em>standpoint, as Seasongood had several careers. This may be proof of the role that peddling had as a temporary means of gaining economic security. No copy of actual doc in box, just HD notes.</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2C3J4WSB","journalArticle","2006","Samuels, Maurice","Jews, Modernity, and the Fiction of Ben-Levi","Nineteenth-Century French Studies","","1536-0172","10.1353/ncf.2006.0038","http://muse.jhu.edu/journals/nineteenth_century_french_studies/v034/34.3samuels.html","","2006","2014-04-08 17:33:16","2014-05-28 18:27:53","2014-04-08 17:33:16","287-302","","3","34","","","","","","","","","","","","","","","Project MUSE","","","","; ","http://muse.jhu.edu/journals/nineteenth_century_french_studies/v034/34.3samuels.pdf; http://muse.jhu.edu/journals/nineteenth_century_french_studies/v034/34.3samuels.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2CIIRI78","journalArticle","2005","Ryan, Des","Father John Creagh CSSR: Social Reformer, 1870-1947","Old Limerick Journal","","","","","","2005","2014-05-06 19:06:22","2014-05-06 19:07:43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2EASWK48","book","1976","Rosenbaum, Fred","Free to choose: the making of a Jewish community in the American West : the Jews of Oakland, California from the gold rush to the present day","","","","","","","1976","2014-05-06 19:35:27","2014-05-06 19:35:27","","","","","","","","Free to choose","","","","","Judah L. Magnes Memorial Museum","Berkeley, Calif.","English","","","","","Open WorldCat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2EKVNNHE","journalArticle","1990","Darvish-Lecker, Tikva; Don, Yehuda","A Jewish community in ""isolation"": the socio-economic development of the Jewish community in Quito, Ecuador","Contemporary Jewry","","0147-1694","","","","1990","2015-03-10 15:07:36","2015-03-10 21:47:31","","29-48","","1","11","","","A Jewish community in ""isolation""","","","","","","","","","","","","aleph.nli.org.il Library Catalog","","jp_cite_00279","","","","","Ecuador; Ecuador Quito |9 lat; History |9 lat; Jews","","","","Don, Yehuda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2ENZ5B4F","book","1990","Bein, Alex","The Jewish question: biography of a world problem","","0838632521 9780838632529","","","","","1990","2014-03-25 16:21:08","2014-12-15 22:42:47","","","","","","","","The Jewish question","","","","","Herzl Press","Rutherford","English","","","","","Open WorldCat","","jp_cite_00099","","","","","","","","Zohn, Harry","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2ETJPEWM","book","1990","Shammas, Carole","The pre-industrial consumer in England and America","","0198283024 9780198283027","","","","","1990","2014-04-14 21:06:54","2014-04-14 21:06:54","","","","","","","","","","","","","Clarendon Press ; Oxford University Press","Oxford [England]; New York","English","","","","","Open WorldCat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2FPWZNH4","book","2005","Barṭal, Yiśraʼel","The Jews of Eastern Europe, 1772-1881","","0812238877  9780812238877  9780812219074  0812219074","","","","""In the nineteenth century, the largest Jewish community the modern world had known lived in hundreds of towns and shtetls in the territory between the Prussian border of Poland and the Ukrainian coast of the Black Sea. The period had started with the partition of Poland and the absorption of its territories into the Russian and Austro-Hungarian empires; it would end with the first large-scale outbreaks of anti-Semitic violence and the imposition in Russia of strong anti-Semitic legislation. In the years between, a traditional society accustomed to an autonomous way of life would be transformed into one much more open to its surrounding cultures, yet much more confident of its own nationalist identity. In The Jews of Eastern Europe, Israel Bartal traces this transformation and finds in it the roots of Jewish modernity.""--BOOK JACKET.","2005","2014-03-25 15:39:47","2014-12-15 19:04:16","","","","","","","","","","","","","University of Pennsylvania Press","Philadelphia","eng","","","","","Open WorldCat","","jp_cite_00088","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2GXRARSH","book","1907","Rubinow, I. M","Economic condition of the Jews in Russia","","","","","","","1907","2014-04-29 20:24:45","2014-04-29 20:24:45","","","","","","","","","","","","","G.P.O.","Washington, D.C.","English","","","","","Open WorldCat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2HR9RM23","newspaperArticle","","Bibo, Nathan","Reminiscences of Early New Mexico","The Albuquerque Sunday Herald","","","","","","","2015-01-12 21:20:25","2015-01-12 21:22:02","","","","","","","","","","","","","","Albuquerque, NM","","","","","American Jewish Archives","","","jp_cite_00148","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2N8Z2K4S","journalArticle","1965","Berg, Louis","Peddlers in Eldorado","Commentary","","","","http://www.commentarymagazine.com/articles/peddlers-in-eldorado/","","1965-07","2014-12-17 17:13:03","2014-12-17 17:15:02","","63-67","","","","","","","","","","","","","","","","","","","","jp_cite_00114","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2QFDKXWR","book","1992","Cronon, William; Miles, George A; Gitlin, Jay","Under an open sky: rethinking America's Western past","","039302993X 9780393029932","","","","""The history of the American West is being transformed by exciting new ideas, new questions, new scholarship. For many years this field was dominated by popular images of the lone cowboy and the savage Indian, and by Frederick Jackson Turner's concept of the frontier as a steadily advancing source of democracy and social renewal. But now historians and even the merchants of popular culture are reshaping our views of the frontier and the West by taking up a rich array of new subjects, including the stories of diverse peoples as well as the history of the land itself. A new generation of scholars is reformulating the broader questions also: what was the significance of the frontier in American history? what are the bases of western identity? what themes connect the twentieth-century West to its more distant past?"" ""The transformation of western history continues to be an open-ended, turbulent process. The original essays in this volume are reports from the frontier of change. In their diverging assumptions and conclusions, they reflect the vitality of this field. They succeed when they make the case for new questions and suggest possible answers. They advocate no single agenda. But taken together they well represent the passion and high craft with which scholars are creating a new western history.""--BOOK JACKET.","1992","2015-03-04 16:01:13","2015-03-04 16:01:13","","","","","","","","Under an open sky","","","","","W.W. Norton","New York","English","","","","","Open WorldCat","","","<p>Contextual resource providing theoretical basis for understanding ""The West""</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2SQWWA6E","book","1929","Bernheim, Isaac W.","The closing chapters of a busy life","","","","","","","1929","2015-01-11 17:02:06","2015-01-11 17:02:19","","","","","","","","","","","","","[Welch-Haffner Print. Co.]","[Denver]","English","","","","","Open WorldCat","","jp_cite_00131","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2SXXPXG9","book","1935","Dubelman, Abraham Josef","Oif Kubaner erd; bilder, skitzn un derzeilungen.","","","","","","","1935","2015-05-14 21:00:27","2015-05-14 21:00:27","","","","","","","","","","","","","Imprenta ""Vida Habanera, ""","Havana","Yiddish","","","","","Open WorldCat","","","<p>Need translation before inclusion</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2TKGKUW8","journalArticle","1983","Schmier, Louis","A Jewish Peddler and His Black Customers Look at Each Other","American Jewish History","","0164-0178","","http://search.proquest.com/docview/1296106081/E3D27CFA1EE54F0FPQ/1?accountid=12768","","Sep 1, 1983","2014-04-07 18:28:58","2014-04-07 18:28:58","2014-04-07 18:28:58","","","1","73","","","","","","","","","","English","","","","","ProQuest","","","","","http://search.proquest.com/docview/1296106081/E3D27CFA1EE54F0FPQ/1?accountid=12768","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2WH4KKU4","bookSection","2003","Berniker, Pinkhes","Jesus","Yiddish south of the border: an anthology of Latin American Yiddish writing","0826323480 9780826323484","","","","","2003","2014-12-09 16:24:37","2014-12-09 16:25:12","","","","","","","","","","","","","University of New Mexico Press","Albuquerque","English","","","","","Open WorldCat","","jp_cite_00062","","","","","","Astro, Alan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"338HPR7K","webpage","","Case Western University","Benesch, Alfred Abraham","The Encyclopedia of Cleveland History","","","","http://ech.case.edu/cgi/article.pl?id=BAA","","","2014-04-01 16:23:15","2014-12-16 17:06:29","","","","","","","","","","","","","","","","","","","","","","jp_cite_00103","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35DANPX3","book","1975","Arkin, Marcus","Aspects of Jewish economic history","","0827600674 9780827600676","","","","","1975","2014-03-09 19:54:10","2014-12-08 18:26:32","","","","","","","","","","","","","Jewish Publication Society of America","Philadelphia","English","","","","","Open WorldCat","","jp_cite_00048","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"363B9T4X","book","2001","Cantor, Judith Levin","Jews in Michigan","","0870135988 9780870135989","","","","","2001","2015-02-11 16:05:26","2015-02-11 16:05:54","","","","","","","","","","","","","Michigan State University Press","East Lansing","English","","","","","Open WorldCat","","jp_cite_00207","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36QZMBDV","webpage","2013","Abrams, Jeanne","Benjamin Altman","Immigrant Entrepreneurship: German-American Business Biographies, 1720 to the Present","","","","http://www.immigrantentrepreneurship.org/entry.php?rec=90","Benjamin Altman founder of B. Altman & Company, A New York City department store.","2013 November 14","2014-03-09 19:33:11","2014-12-08 17:04:34","2014-03-09 19:33:11","","","","","","","","","","","","","","en-US","German Historical Institute","","","","","","jp_cite_00039","<p>Filed under Altman</p>","","http://www.immigrantentrepreneurship.org/entry.php?rec=90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36W7GNFR","book","1917","Sandberg, Harry O","The Jews of Latin America including South and Central America, Mexico, the West Indies, and the United States possessions.","","","","","","","1917","2014-04-08 18:19:19","2014-04-08 18:19:19","","","","","","","","","","","","","Jewish Publication Society of America","Philadelphia","English","","","","","Open WorldCat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37NJZG78","book","1973","Braudel, Fernand","Capitalism and material life, 1400-1800.","","0060104546 9780060104542","","","","This work is concerned with the quest for progress in daily life throughout the world between the fifteenth and eighteenth centuries. Professor Braudel studies the demographic expansion that outstripped the production of goods, and the many other factors that brought about the low subsistence level of the majority of people in contrast with the luxurious living standards of the wealthy and privileged few; the effects of famine and plague; the gradual expansion of the towns in a basically agricultural economy. In this first of a two-volume work deals with population; staple diets throughout the world; housing and clothes; the spread of technology in particular, sources of power; communications; early economies and kinds of money; towns in East and West. The second volume will deal with the rise and expansion of capitalism.","1973","2015-02-02 18:41:09","2015-02-02 18:41:28","","","","","","","","","","","","","Harper and Row","New York","English","","","","","Open WorldCat","","jp_cite_00175","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38V7N7TU","journalArticle","1983","Schmier, Louis","A 'Jewish Missionary' Among Gentiles: Charles Wessolowsky's Georgia Years","The Journal of Southwest Georgia History","","","","","","1983","2014-04-07 15:50:08","2014-04-07 15:51:36","","","","","1","","","","","","","","","","","","","","","","","","<p>Not primary source material, but does provide very detailed portrait of a life.</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3A8ZXDN5","book","1990","Cohen, Derek; Heller, Deborah","Jewish presences in English literature","","9780773562622  0773562621","","","http://site.ebrary.com/id/10135060","","1990","2015-02-17 22:22:03","2015-02-17 22:22:03","2015-02-17 22:22:03","","","","","","","","","","","","McGill-Queen's University Press","Montreal [Que.]","English","","","","","Open WorldCat","","","<p>Title page only. Unclear if peddlers are represented in this resource.</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3B2N65VF","book","1952","Barwin, Victor","Millionaires and tatterdemalions; stories of Jewish life in South Africa.","","","","","","","1952","2014-03-25 15:46:21","2014-12-15 19:24:12","","","","","","","","","","","","","E. Goldston","London","English","","","","","Open WorldCat","","jp_cite_00089","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3BQGGRB3","book","1999","Cohen, Edward","The peddler's grandson growing up Jewish in Mississippi","","9781604736885  1604736887","","","http://search.ebscohost.com/login.aspx?direct=true&scope=site&db=nlebk&db=nlabk&AN=479945","","1999","2015-02-17 22:28:26","2015-03-03 19:38:33","2015-02-17 22:28:26","","","","","","","","","","","","University Press of Mississippi","Jackson","English","","","","","Open WorldCat","","jp_cite_00246","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3DPPNREH","webpage","2003","Moe, Todd","New Book Offers Glimpse Into Old Forge's History","North Country Public Radio","","","","http://www.northcountrypublicradio.org/news/story/3184/20030801/new-book-offers-glimpse-into-old-forge-s-history","In the late 1890's Moses Cohen arrived in the west central Adirondacks with a peddler's pack, and in 1900 opened a hardware store in Old Forge at the foot of the Fulton Chain of Lakes.   It's become a centerpiece in the village and is known as the...","2003 August 1","2015-05-07 15:01:36","2015-05-07 15:02:53","2015-05-07 15:01:36","","","","","","","","","","","","","","","","","","","","","jp_cite_00309","","","http://www.northcountrypublicradio.org/news/story/3184/20030801/new-book-offers-glimpse-into-old-forge-s-history","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
